DATE=19991015, TIME=09:30:00, NPAN=751, NPMT=9522, NOWL=91, NLG=49, NBUT=22, NECK=4
H100 10  7 T10  0  130.503  -85.399  0  0  0  0
EAHF PLUD JGQJ KLSA RD02  0x07  586.897 -595.477  101.834
EAHG PNEV JGQK KLSA RD03  0x07  551.531 -622.292  127.255
EAHH PNAI JGQL KLSA RD04  0x07  564.435 -614.663  101.834
EAHI PLSM JGQM KLSA RD05  0x07  577.356 -607.025   76.397
EAHJ PMYU JGQN KLSA RD06  0x07  529.102 -641.489  127.246
EAHK PNLW JGQO KLSA RD07  0x07  542.005 -633.860  101.825
EAHL PLQB JGQP KLSA RD08  0x07  554.912 -626.202   76.383
EAHM PKJI JHSQ KLSB RD09  0x07  567.806 -618.586   50.941
EAHN PKTM JHSR KLSB RD10  0x07  506.653 -660.696  127.252
EAHO PLIR JHSS KLSB RD11  0x07  519.561 -653.037  101.810
EAHP PLLF JHST KLSB RD12  0x07  532.473 -645.412   76.354
EAHQ PKQH JHSU KLSB RD13  0x07  545.362 -637.764   50.926
EAHR PLJR JHSV KLSB RD14  0x07  558.284 -630.126   25.490
H115 14  5 T14  0   84.129  -59.056  0  0  0  0
EAHS PEYQ JHZL KFCA QC02  0x07  384.987 -742.168  101.847
EAHT PEBU JHZM KFCA QC03  0x07  396.222 -732.255  127.283
EAHU PFHE JHZN KFCA QC04  0x07  398.913 -736.669   76.403
EAHV PDSQ JHZO KFCA QC05  0x07  410.148 -726.756  101.840
EAHW PFIQ JHZP KFCA QC06  0x07  421.402 -716.833  127.262
EAHX PEIP JHZQ KFCA QC07  0x07  412.840 -731.169   50.959
EAHY PEHX JHZR KFCA QC08  0x07  424.093 -721.247   76.381
EAHZ PEOF JHAE KFCB QC09  0x07  435.329 -711.334  101.818
EAIA PESW JHAF KFCB QC10  0x07  446.597 -701.432  127.246
EAIB PEYK JHAG KFCB QC11  0x07  426.757 -725.683   25.496
EAIC PEZL JHAH KFCB QC12  0x07  438.020 -715.748   50.938
EAID PDXX JHAI KFCB QC13  0x07  449.288 -705.845   76.365
EAIE PFKF JHAJ KFCB QC14  0x07  460.523 -695.932  101.802
EAIF PFKS JHAK KFCB QC15  0x07  471.801 -686.017  127.250
